City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
434,Pemba,MZ,75.22,clear sky,-12.974,40.5178,Guesthouse Samotina
441,Lorengau,PG,84.9,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
443,Vanimo,PG,84.85,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
449,Antsohihy,MG,80.89,clear sky,-14.8796,47.9875,Hotel de Ville
452,Kavieng,PG,83.86,light rain,-2.5744,150.7967,Nusa Island Retreat
455,Wanning,CN,85.93,scattered clouds,18.8003,110.3967,Paradise Hotel
456,Monrovia,LR,79.27,moderate rain,6.3005,-10.7969,Sunset Inn
460,Oyama,JP,74.59,moderate rain,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
469,Amarante Do Maranhao,BR,71.42,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
471,Ahuimanu,US,78.51,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
475,Hanzhong,CN,80.56,clear sky,33.0728,107.0303,Guorui Hotel
482,Tevaitoa,PF,82.11,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
485,Naze,JP,74.84,overcast clouds,28.3667,129.4833,Shishime Hotel
490,Awassa,ET,72.23,scattered clouds,7.05,38.4667,ፓራዳይስ ሆቴል ሀዋሳ / Paradise Hotel Hawassa
492,Manaure,CO,80.44,overcast clouds,11.7751,-72.4445,Hotel Palaaima
493,Kahului,US,77.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
494,Cabo Rojo,PR,79.72,overcast clouds,18.0866,-67.1457,Hotel Perichi's
495,Ushtobe,KZ,77.5,broken clouds,45.2514,77.9838,Filipin Squad
497,Mumford,GH,80.11,overcast clouds,5.2618,-0.759,Spanish Villa
501,Tamiahua,MX,77.56,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
504,Inhambane,MZ,73.96,scattered clouds,-23.865,35.3833,Oceano
506,Zaysan,KZ,71.28,broken clouds,47.4667,84.8667,Ерлан үй
508,Cockburn Town,TC,79.65,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
509,Aden,YE,86.09,few clouds,12.7794,45.0367,Sama Emirate Hotel
513,Palimbang,PH,84.18,overcast clouds,6.2106,124.1894,Felmar Beach resort
514,Port Blair,IN,78.84,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
515,Ayagoz,KZ,71.62,clear sky,47.9714,80.4392,ХАН
523,Xining,CN,70.52,few clouds,36.6167,101.7667,Super Leisure Hotel
527,Marsh Harbour,BS,72.81,clear sky,26.5412,-77.0636,Abaco Beach Resort
532,Bandarbeyla,SO,88.97,overcast clouds,9.4942,50.8122,JABIR HOTEL
533,Flic En Flac,MU,80.53,light rain,-20.2742,57.3631,Hilton Mauritius Resort & Spa
534,Varzea Grande,BR,73.27,clear sky,-15.6467,-56.1325,Hotel Express
536,Tautira,PF,81.27,light rain,-17.7333,-149.15,Pension Oaoa
540,Zaraza,VE,80.96,broken clouds,9.3503,-65.3245,Hotel Zaraza
542,Bambanglipuro,ID,86.38,overcast clouds,-7.95,110.2833,Puri Brata
544,Blackwater,AU,73.83,light rain,-23.5833,148.8833,Blackwater Motor Inn
545,Kiunga,PG,83.97,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
549,Namatanai,PG,84.13,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
550,Richards Bay,ZA,70.36,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
552,Porto Nacional,BR,71.6,clear sky,-10.7081,-48.4172,Vila Real Hotel
554,Luang Prabang,LA,88.12,light rain,19.8856,102.1347,The Apsara
